Signal Legend:

Key        Signal Name

0        = PC[4..0]
1        = reset
2        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|actual_outcome
3        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|flush
4        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|prediction
5        = BPU:bpu|ghr_E[4..0]
6        = REGISTER_FILE:REG_FILE|registers[8][0..31]

Data Table:

Signals-> 0  1 2 3 4 5      6                                 

sample

-64       4  0 0 0 0 00000b 00000000011101111110011010011100b 
-63       2  0 0 0 0 00000b 00000000011101111110011010011100b 
-62       3  0 0 0 0 00000b 00000000011101111110011010011100b 
-61       4  0 1 1 0 00000b 00000000011101111110011010011101b 
-60       5  0 0 0 0 00000b 00000000011101111110011010011101b 
-59       6  0 0 0 0 00000b 00000000011101111110011010011101b 
-58       7  0 0 0 0 00001b 00000000011101111110011010011101b 
-57       8  0 0 0 0 00001b 00000000011101111110011010011101b 
-56       9  0 0 0 0 00001b 00000000011101111110011010011101b 
-55       10 0 0 0 0 00001b 00000000011101111110011010011101b 
-54       11 0 0 0 0 00001b 00000000011101111110011010011101b 
-53       12 0 0 0 0 00001b 00000000011101111110011010011101b 
-52       13 0 0 0 0 00001b 00000000011101111110011010011101b 
-51       14 0 0 0 0 00001b 00000000011101111110011010011101b 
-50       15 0 0 0 0 00001b 00000000011101111110011010011101b 
-49       16 0 0 0 0 00001b 00000000011101111110011010011101b 
-48       17 0 0 0 0 00001b 00000000011101111110011010011101b 
-47       18 0 0 0 0 00001b 00000000011101111110011010011101b 
-46       19 0 0 0 0 00001b 00000000011101111110011010011101b 
-45       20 0 0 0 0 00001b 00000000011101111110011010011101b 
-44       21 0 0 0 0 00001b 00000000011101111110011010011101b 
-43       22 0 0 0 0 00001b 00000000011101111110011010011101b 
-42       23 0 0 0 0 00001b 00000000011101111110011010011101b 
-41       24 0 0 0 0 00001b 00000000011101111110011010011101b 
-40       25 0 0 0 0 00001b 00000000011101111110011010011101b 
-39       26 0 0 0 0 00001b 00000000011101111110011010011101b 
-38       27 0 0 0 0 00001b 00000000011101111110011010011101b 
-37       28 0 0 0 0 00001b 00000000011101111110011010011101b 
-36       29 0 0 0 0 00001b 00000000011101111110011010011101b 
-35       30 0 0 0 0 00001b 00000000011101111110011010011101b 
-34       31 0 0 0 0 00001b 00000000011101111110011010011101b 
-33       0  0 0 0 0 00001b 00000000011101111110011010011101b 
-32       1  0 0 0 0 00001b 00000000011101111110011010011101b 
-31       2  0 0 0 0 00001b 00000000011101111110011010011101b 
-30       3  0 0 0 0 00001b 00000000011101111110011010011101b 
-29       4  0 0 0 0 00001b 00000000011101111110011010011101b 
-28       2  0 0 0 0 00001b 00000000011101111110011010011101b 
-27       3  0 0 0 0 00001b 00000000011101111110011010011101b 
-26       4  0 0 0 0 00010b 00000000011101111110011010011110b 
-25       2  0 0 0 0 00010b 00000000011101111110011010011110b 
-24       3  0 0 0 0 00010b 00000000011101111110011010011110b 
-23       4  0 0 0 0 00100b 00000000011101111110011010011111b 
-22       2  0 0 0 0 00100b 00000000011101111110011010011111b 
-21       3  0 0 0 0 00100b 00000000011101111110011010011111b 
-20       4  0 0 0 0 01000b 00000000011101111110011010100000b 
-19       2  0 0 0 0 01000b 00000000011101111110011010100000b 
-18       3  0 0 0 0 01000b 00000000011101111110011010100000b 
-17       4  0 0 0 0 10000b 00000000011101111110011010100001b 
-16       2  0 0 0 0 10000b 00000000011101111110011010100001b 
-15       3  0 0 0 0 10000b 00000000011101111110011010100001b 
-14       4  0 0 0 0 00000b 00000000011101111110011010100010b 
-13       2  0 0 0 0 00000b 00000000011101111110011010100010b 
-12       3  0 0 0 0 00000b 00000000011101111110011010100010b 
-11       4  0 0 0 0 00000b 00000000011101111110011010100011b 
-10       2  0 0 0 0 00000b 00000000011101111110011010100011b 
-9        3  0 0 0 0 00000b 00000000011101111110011010100011b 
-8        4  0 0 0 0 00000b 00000000011101111110011010100100b 
-7        2  0 0 0 0 00000b 00000000011101111110011010100100b 
-6        3  0 0 0 0 00000b 00000000011101111110011010100100b 
-5        4  0 0 0 0 00000b 00000000011101111110011010100101b 
-4        2  0 0 0 0 00000b 00000000011101111110011010100101b 
-3        3  0 0 0 0 00000b 00000000011101111110011010100101b 
-2        4  0 0 0 0 00000b 00000000011101111110011010100110b 
-1        2  0 0 0 0 00000b 00000000011101111110011010100110b 
0         3  0 0 0 0 00000b 00000000011101111110011010100110b 
1         4  0 1 1 0 00000b 00000000011101111110011010100111b 
2         5  0 0 0 0 00000b 00000000011101111110011010100111b 
3         6  0 0 0 0 00000b 00000000011101111110011010100111b 
4         7  0 0 0 0 00001b 00000000011101111110011010100111b 
5         8  0 0 0 0 00001b 00000000011101111110011010100111b 
6         9  0 0 0 0 00001b 00000000011101111110011010100111b 
7         10 0 0 0 0 00001b 00000000011101111110011010100111b 
8         11 0 0 0 0 00001b 00000000011101111110011010100111b 
9         12 0 0 0 0 00001b 00000000011101111110011010100111b 
10        13 0 0 0 0 00001b 00000000011101111110011010100111b 
11        14 0 0 0 0 00001b 00000000011101111110011010100111b 
12        15 0 0 0 0 00001b 00000000011101111110011010100111b 
13        16 0 0 0 0 00001b 00000000011101111110011010100111b 
14        17 0 0 0 0 00001b 00000000011101111110011010100111b 
15        18 0 0 0 0 00001b 00000000011101111110011010100111b 
16        19 0 0 0 0 00001b 00000000011101111110011010100111b 
17        20 0 0 0 0 00001b 00000000011101111110011010100111b 
18        21 0 0 0 0 00001b 00000000011101111110011010100111b 
19        22 0 0 0 0 00001b 00000000011101111110011010100111b 
20        23 0 0 0 0 00001b 00000000011101111110011010100111b 
21        24 0 0 0 0 00001b 00000000011101111110011010100111b 
22        25 0 0 0 0 00001b 00000000011101111110011010100111b 
23        26 0 0 0 0 00001b 00000000011101111110011010100111b 
24        27 0 0 0 0 00001b 00000000011101111110011010100111b 
25        28 0 0 0 0 00001b 00000000011101111110011010100111b 
26        29 0 0 0 0 00001b 00000000011101111110011010100111b 
27        30 0 0 0 0 00001b 00000000011101111110011010100111b 
28        31 0 0 0 0 00001b 00000000011101111110011010100111b 
29        0  0 0 0 0 00001b 00000000011101111110011010100111b 
30        1  0 0 0 0 00001b 00000000011101111110011010100111b 
31        2  0 0 0 0 00001b 00000000011101111110011010100111b 
32        3  0 0 0 0 00001b 00000000011101111110011010100111b 
33        4  0 0 0 0 00001b 00000000011101111110011010100111b 
34        2  0 0 0 0 00001b 00000000011101111110011010100111b 
35        3  0 0 0 0 00001b 00000000011101111110011010100111b 
36        4  0 0 0 0 00010b 00000000011101111110011010101000b 
37        2  0 0 0 0 00010b 00000000011101111110011010101000b 
38        3  0 0 0 0 00010b 00000000011101111110011010101000b 
39        4  0 0 0 0 00100b 00000000011101111110011010101001b 
40        2  0 0 0 0 00100b 00000000011101111110011010101001b 
41        3  0 0 0 0 00100b 00000000011101111110011010101001b 
42        4  0 0 0 0 01000b 00000000011101111110011010101010b 
43        2  0 0 0 0 01000b 00000000011101111110011010101010b 
44        3  0 0 0 0 01000b 00000000011101111110011010101010b 
45        4  0 0 0 0 10000b 00000000011101111110011010101011b 
46        2  0 0 0 0 10000b 00000000011101111110011010101011b 
47        3  0 0 0 0 10000b 00000000011101111110011010101011b 
48        4  0 0 0 0 00000b 00000000011101111110011010101100b 
49        2  0 0 0 0 00000b 00000000011101111110011010101100b 
50        3  0 0 0 0 00000b 00000000011101111110011010101100b 
51        4  0 0 0 0 00000b 00000000011101111110011010101101b 
52        2  0 0 0 0 00000b 00000000011101111110011010101101b 
53        3  0 0 0 0 00000b 00000000011101111110011010101101b 
54        4  0 0 0 0 00000b 00000000011101111110011010101110b 
55        2  0 0 0 0 00000b 00000000011101111110011010101110b 
56        3  0 0 0 0 00000b 00000000011101111110011010101110b 
57        4  0 0 0 0 00000b 00000000011101111110011010101111b 
58        2  0 0 0 0 00000b 00000000011101111110011010101111b 
59        3  0 0 0 0 00000b 00000000011101111110011010101111b 
60        4  0 0 0 0 00000b 00000000011101111110011010110000b 
61        2  0 0 0 0 00000b 00000000011101111110011010110000b 
62        3  0 0 0 0 00000b 00000000011101111110011010110000b 
63        4  0 1 1 0 00000b 00000000011101111110011010110001b 
64        5  0 0 0 0 00000b 00000000011101111110011010110001b 
65        6  0 0 0 0 00000b 00000000011101111110011010110001b 
66        7  0 0 0 0 00001b 00000000011101111110011010110001b 
67        8  0 0 0 0 00001b 00000000011101111110011010110001b 
68        9  0 0 0 0 00001b 00000000011101111110011010110001b 
69        10 0 0 0 0 00001b 00000000011101111110011010110001b 
70        11 0 0 0 0 00001b 00000000011101111110011010110001b 
71        12 0 0 0 0 00001b 00000000011101111110011010110001b 
72        13 0 0 0 0 00001b 00000000011101111110011010110001b 
73        14 0 0 0 0 00001b 00000000011101111110011010110001b 
74        15 0 0 0 0 00001b 00000000011101111110011010110001b 
75        16 0 0 0 0 00001b 00000000011101111110011010110001b 
76        17 0 0 0 0 00001b 00000000011101111110011010110001b 
77        18 0 0 0 0 00001b 00000000011101111110011010110001b 
78        19 0 0 0 0 00001b 00000000011101111110011010110001b 
79        20 0 0 0 0 00001b 00000000011101111110011010110001b 
80        21 0 0 0 0 00001b 00000000011101111110011010110001b 
81        22 0 0 0 0 00001b 00000000011101111110011010110001b 
82        23 0 0 0 0 00001b 00000000011101111110011010110001b 
83        24 0 0 0 0 00001b 00000000011101111110011010110001b 
